Item_ID,Item_Type_ID,Culture_ID,Item_Name,Weight,Civilian
251,2,2,Highland Throwing Axe*,2.07,No
252,2,6,Raider Throwing Axe,2.13,No
253,2,1,Tribesman Throwing Axe,2.07,Yes
254,2,5,Broad Bladed Throwing Knives,2.88,Yes
255,2,2,Highland Throwing Dagger,2.4,Yes
256,2,2,Leafblade Throwing Knife,2.58,Yes
257,2,7,Lowland Throwing Knife,2.43,Yes
258,2,5,Tribesman Throwing Daggers,2.58,Yes
259,2,5,Simple Javelin,3.64,Yes
260,2,6,Fish Harpoon,3.92,No
261,2,5,Jagged Javelin,3.64,No
262,2,5,Horseman Javelin,5.55,Yes
263,2,6,Harpoon,6.75,Yes
264,2,7,Lowland Javelin,6,No
265,2,2,Woodland Javelin,5,No
266,2,6,Broad Blade Javelin,5.55,No
267,2,7,Hooked Javelin,7.05,No
268,2,1,Jereed,6,No
269,3,7,Aketon,3.4,No
270,3,7,Aproned Dress,0.7,Yes
271,3,4,Aproned Feminine Coat,0.8,Yes
272,3,2,Armored Baggy Trunks,0.3,No
273,3,8,Auxiliary Armor,1.9,No
274,3,8,Auxiliary Armor with Straps,2,No
275,3,2,Baggy Trunks,0.2,Yes
276,3,7,Banded Leather over Mail,8.6,No
277,3,4,Belted Leather Cuirass,1.9,No
278,3,6,Belted Tunic,0.3,Yes
279,3,8,Boarskin Leather Coat,5.1,No
280,3,7,Brigandine over Hauberk,28.6,No
281,3,7,Brigandine over Mail,23.2,No
282,3,4,Brigandine Vest,14.2,No
283,3,2,Bronze Breastplate,8.5,Yes
284,3,4,Bronze Lamellar over Mail,22,No
285,3,1,Bronze Lamellar Vest over Gambeson,9.5,No
286,3,6,Bronze Scale Vest,14,No
287,3,6,Bronze Scale Vest over Gambeson,15,No
288,3,9,Buckled Mail Armor,12.3,No
289,3,9,Burlap Dress,0.5,Yes
290,3,2,Burlap Waistcoat,0.4,Yes
291,3,8,Cataphract Lamellar Armor,22.1,No
292,3,1,Cavalry Lamellar Armor,18,No
293,3,8,Cavalryman Mail Shirt,8.3,No
294,3,9,Cheap Colored Clothes,1.8,No
295,3,9,Cheap Paddings,2.9,No
296,3,5,Cloth Apron,0.8,Yes
297,3,6,Coat Of Plates,21,No
298,3,4,Coat with Mirrored Belt,2.4,Yes
299,3,6,Cold Weather Dress,0.7,Yes
300,3,1,Colored Bisht,1,Yes
301,3,1,Colored Kaftan,0.9,Yes
302,3,8,Commoner Clothes,0.5,Yes
303,3,9,Commoner Shirt,0.5,Yes
304,3,9,Commoner Tunic,0.6,Yes
305,3,7,Corseted Dress,0.5,Yes
306,3,4,Crude Hide Armor,2.4,No
307,3,4,Cured Leather Lamellar Armor,14,No
308,3,6,Cured Leather Lamellar Shirt,8.9,No
309,3,8,Cured Studded Leather Armor,3,No
310,3,6,Cut Dress with Pouch,0.5,Yes
311,3,6,Decorated Hauberk,14.5,No
312,3,8,Decorated Legionary Mail,22,No
313,3,6,Decorated Thick Tunic,0.6,Yes
314,3,6,Dress,0.5,Yes
315,3,4,Dress with Fur,0.9,Yes
316,3,9,Dummy Higher Average,30,No
317,3,9,Dummy Lower Average,20,No
318,3,9,Dummy Max Armor,40,No
319,3,9,Dummy Min Armor,10,No
320,3,4,Envelope Dress,0.6,Yes
321,3,1,Feminine Kaftan,0.9,Yes
322,3,7,Fortified Mercenary Armor,8.2,No
323,3,6,Frilled Dress,0.6,Yes
324,3,2,Fur Armor,4,No
325,3,2,Fur Armor with Strap,3.1,Yes
326,3,9,Fur Coat over Tunic,2.1,No
327,3,9,Fur Skirt,0.6,No
328,3,9,Fur Skirt with Tunic,0.9,No
329,3,6,Fur Trimmed Short Tunic,0.4,Yes
330,3,6,Fur Trimmed Tunic,0.8,Yes
331,3,9,Fur Waistcoat over Tunic,2.3,No
332,3,1,Gambeson over Mail Armor,11,No
333,3,5,Half Apron,0.7,Yes
334,3,7,Heavy Aketon,2,Yes
335,3,6,Heavy Lamellar over Hauberk,23.8,No
336,3,6,Heavy Lamellar over Mail,23.6,No
337,3,6,Heavy Lamellar over Mail Armor,24,No
338,3,6,Heavy Lamellar Vest,8.3,No
339,3,6,Heavy Lamellar Vest,6.2,No
340,3,7,Heavy Mail Hauberk,12,No
341,3,7,Heavy Mail Shirt,9.5,No
342,3,2,Heavy Mail Shirt with Wide Belt,14,No
343,3,2,Heavy Mail Vest,10.7,No
344,3,1,Heavy Ring Mail,10.5,No
345,3,8,Heavy Scale Armor over Mail Hauberk,18.2,No
346,3,6,Heavy Tunic,1,Yes
347,3,8,Hemp Tunic,0.4,Yes
348,3,2,Highborn Mail Armor,19.6,No
349,3,2,Highland Kilt over Tartan Trousers,0.8,Yes
350,3,2,Highland Long Tartan,2.4,Yes
351,3,2,Highland Mail Shirt,10.7,No
352,3,2,Highland Reinforced Mail,16.6,No
353,3,2,Highland Reinforced Mail over Tartan,14.7,No
354,3,2,Highland Scale Armor over Cloth,11.4,No
355,3,2,Highland Scale Armor over Mail Armor,22.4,No
356,3,2,Highland Tartan,3.2,Yes
357,3,2,Highland Tartan with Chest Plate,6.5,No
358,3,6,Huscarl Decorated Mail Shirt,10.7,No
359,3,6,Huscarl Hauberk,8.3,No
360,3,6,Huscarl Mail Shirt,10.7,No
361,3,8,Infantryman Gambeson,2.1,Yes
362,3,8,Infantryman Gambeson over Leather Jacket,1.8,Yes
363,3,8,Infantryman Gambeson with Skirts,2,Yes
364,3,8,Infantryman Gambeson with Straps,1.6,Yes
365,3,8,Infantryman Long Gambeson,1.5,Yes
366,3,8,Infantryman Mail over Leather,8.6,No
367,3,8,Infantryman Mail over Striped Leather,10.2,No
368,3,8,Infantryman Mail Vest,9.8,No
369,3,8,Infantryman Rough Gambeson,2.8,Yes
370,3,1,Kaftan with Leather Belt,1.1,Yes
371,3,1,Kaftan with Waistband,0.8,Yes
372,3,4,Khan's Coat of Plates,26.5,No
373,3,2,Kilt over Plated Leather,13.6,No
374,3,6,Laced Dress,0.6,Yes
375,3,8,Ladies Dress,0.7,Yes
376,3,8,Lamellar with Scale Skirt,24.1,No
377,3,4,Lancer Lamellar Armor,13,No
378,3,6,Layered Leather Tunic,1.2,Yes
379,3,1,Layered Robe,2,Yes
380,3,5,Leather Apron,2.5,Yes
381,3,8,Leather Armor,3.1,No
382,3,6,Leather Armor over Heavy Cloth,1.8,Yes
383,3,6,Leather Armor with Iron Plates,9.6,No
384,3,7,Leather Coat over Cloth,0.7,Yes
385,3,7,Leather Scale Armor,6.9,Yes
386,3,1,Leather Strips over Padded Robe,5.5,Yes
387,3,6,Leather Tabard,4.4,No
388,3,6,Leather Tabard over Mail,10,No
389,3,7,Leather Tunic,2.3,Yes
390,3,8,Leather Tunic,2.1,Yes
391,3,8,Legionary Mail,19,No
392,3,1,Light Lamellar Armor,16.5,No
393,3,1,Light Long Padded Armor,1.3,Yes
394,3,6,Light Padded Armor,1.6,Yes
395,3,6,Light Tunic,0.4,Yes
396,3,2,Long Fur Coat,2.6,Yes
397,3,7,Long Hemp Tunic,0.6,Yes
398,3,1,Long Padded Robe,3.9,Yes
399,3,1,Long Simple Robe,1.6,Yes
400,3,6,Long Tunic,0.4,Yes
401,3,7,Long Woolen Tunic,0.4,Yes
402,3,2,Luxury Brigandine,24,No
403,3,4,Luxury Coat,2.7,Yes
404,3,1,Luxury Kaftan,0.8,Yes
405,3,1,Luxury Kaftan with Waistband,0.8,Yes
406,3,8,Luxury Lamellar Vest over Leather,15,No
407,3,1,Luxury Scale Armor,20,No
408,3,4,Luxury Thick Coat,2.7,Yes
409,3,6,Luxury Tunic,0.6,Yes
410,3,7,Mail Shirt,7.5,No
411,3,1,Mastercrafted Southern Scale Mail,18,No
412,3,1,Mastercrafted Southern Scale over Chain Hauberk,28,No
413,3,1,Mastercrafted Southern Scale over Chain Mail,22,No
414,3,5,Merchant Fur Coat,2.9,Yes
415,3,8,Military Tunic,0.6,Yes
416,3,4,Mirrored Brigandine Armor,18.6,No
417,3,4,Mirrored Leather Armor,2.4,No
418,3,9,Old Fur Armor,0.9,Yes
419,3,9,Old Fur Coat,1,Yes
420,3,8,Ornate Legionary Scale Mail,28,No
421,3,8,Ornate Scale Armor,16,No
422,3,8,Padded Cloth with Strips,2.2,No
423,3,7,Padded Footman Coat,2.4,No
424,3,9,Padded Leather Overcoat,3.2,No
425,3,7,Padded Leather Shirt,1.8,Yes
426,3,7,Padded Short Coat,2.2,No
427,3,8,Patched Gambeson,2.4,Yes
428,3,2,Plaid Dress,0.9,Yes
429,3,6,Plain Dress,0.5,Yes
430,3,9,Ragged Robes,0.9,Yes
431,3,2,Ranger Mail,12,No
432,3,8,Red Dress,0.6,Yes
433,3,7,Red Tabard over Mail Hauberk,15,No
434,3,4,Reinforced Leather Armor,11.1,No
435,3,4,Reinforced Mirror Armor,2.4,Yes
436,3,4,Reinforced Suede Armor,2.3,No
437,3,6,Reinforced Thick Tunic,1.1,Yes
438,3,8,Rich Dress,0.5,Yes
439,3,8,Rich Tunic,0.4,Yes
440,3,1,Ring Mail,4.4,No
441,3,1,Robe over Mail Hauberk,8.9,No
442,3,1,Robe over Mail Shirt,8.2,No
443,3,7,Rough Brigandine,19,No
444,3,9,Rough Fur Armor,1.3,No
445,3,9,Rough Fur over Mail,14,No
446,3,2,Rough Scale Mail,12.8,No
447,3,6,Roughcloth Shortcoat,0.4,Yes
448,3,9,Rugged Gambeson,2.2,Yes
449,3,2,Rugged Scale Armor,10.7,No
450,3,7,Sackcloth Tunic,0.6,Yes
451,3,2,Scale Warlord Armor,19,No
452,3,7,Scholar Robe,0.5,Yes
453,3,6,Short Gambeson over Tunic,1.5,Yes
454,3,1,Short Padded Robe,1.3,Yes
455,3,8,Short Tunic,1,Yes
456,3,1,Silk Kaftan,0.4,Yes
457,3,7,Silken Noble Dress,0.6,Yes
458,3,7,Simple Cloth Tunic,0.4,Yes
459,3,1,Simple Kaftan,1.6,Yes
460,3,1,Simple Peasant Robe,1.1,Yes
461,3,6,Sleeved Heavy Tunic,0.9,Yes
462,3,9,Sleeveless Enveloped Padded Garments,0.5,Yes
463,3,9,Sleeveless Fur Coat,1.8,No
464,3,7,Sleeveless Padded Coat,2.2,No
465,3,7,Sleeveless Padded Short Coat,2,Yes
466,3,2,Sleeveless Studded Fur Armor,0.4,Yes
467,3,6,Sloven Leather,2.9,No
468,3,1,Southern Chain Mail,17,No
469,3,1,Southern Decorated Chain Mail,18,No
470,3,1,Southern Mail Shirt with Brass Plates,18,No
471,3,1,Southern Reinforced Mail Armor,22,No
472,3,1,Southern Reinforced Mail Vest,15,No
473,3,1,Southern Reinforced Short Mail Armor,18,No
474,3,1,Southern Reinforced Sleeveless Mail Armor,19,No
475,3,1,Southern Sleeveless Mail Shirt with Brass Plates,15,No
476,3,4,Steppe Robe,0.4,Yes
477,3,4,Stitched Cured Leather Coat,8.4,No
478,3,1,Stitched Leather over Mail,15.1,No
479,3,6,Stitched Leather Vest,1.5,Yes
480,3,4,Striped Coat,0.6,Yes
481,3,9,Studded Fur Armor,1.2,Yes
482,3,4,Studded Leather Armor,2.4,No
483,3,1,Studded Leather Coat,1.6,No
484,3,4,Studded Leather over Aketon,4.4,No
485,3,4,Studded Leather Waistcoat,0.7,Yes
486,3,1,Tailored Dress,0.7,Yes
487,3,2,Tartan Dress,0.7,Yes
488,3,2,Tartan Long Dress,0.7,Yes
489,3,2,Tartan Toga,0.7,Yes
490,3,2,Tartan Tunic,0.6,Yes
491,3,1,Tassled Robes,0.9,Yes
492,3,9,Tattered Rags,0.3,Yes
493,3,1,Thawb,1.1,Yes
494,3,8,Thick Brigandine Vest,4.5,Yes
495,3,1,Thick Sleeved Robe,1,Yes
496,3,8,Tied Cloth Tunic,0.4,Yes
497,3,8,Toga,0.9,Yes
498,3,9,Torn Padded Garments,0.5,Yes
499,3,9,Torn Robe,0.4,No
500,3,2,Townsman Luxury Coat,0.6,Yes
501,3,6,Tunic with Leather Vest,0.9,Yes
502,3,8,Tunic with Rolled Cloth,0.7,Yes
503,3,8,Tunic with Shoulder Pads,0.6,Yes
504,3,6,Varyag Tunic,0.4,Yes
505,3,2,Villager Leather Tunic,0.4,Yes
506,3,1,Villager Short Dress,0.5,Yes
507,3,2,Villager Thick Dress,0.7,Yes
508,3,7,White Tabard over Mail Hauberk,15,No
509,3,2,Wildling Armor,0.8,Yes
510,3,2,Woodland Cloth Armor,1.5,Yes
511,3,2,Woodland Commoner Dress,0.8,Yes
512,3,2,Woodland Garments,1.2,Yes
513,3,7,Woven Leather Vest,4.7,No
514,3,8,Austere Crown,0.35,Yes
515,3,1,Bandit Leather Hood,0.1,Yes
516,3,6,Battle Crown,2.2,No
517,3,2,Bear Head,1.4,No
518,3,1,Brass Southern Closed Helmet,2.5,No
519,3,1,Brass Southern Closed Helmet with Turban,2.55,No
520,3,1,Brass Southern Helmet,2.2,No
521,3,1,Brass Southern Helmet with Leather Flaps,1.8,No
522,3,1,Brass Southern Helmet with Turban,2.3,No
523,3,1,Brass Turbaned Helmet with Leather Flaps,1.9,No
524,3,2,Bronze Cap with Cheek Guards,3,No
525,3,8,Bronze Nasalhelm over Mail,3.7,No
526,3,2,Cap with Fur Coif,1.3,No
527,3,4,Cap with Neck Flap,0.3,Yes
528,3,7,Cervelliere over Arming Coif,1.9,No
529,3,7,Cervelliere over Cloth Headwrap,2,No
530,3,7,Cervelliere over Laced Coif,2.1,No
531,3,7,Cervelliere over Padded Cap,2.1,No
532,3,6,Closed Decorated Goggled Helmet,3.8,No
533,3,1,Closed Head Scarf,0.6,No
534,3,6,Closed Huscarl Helmet,4.4,No
535,3,7,Closed Knight Helmet,2.2,No
536,3,6,Closed Mail Goggled Helmet,3.65,No
537,3,1,Closed Steel Cap,3.2,No
538,3,6,Closed Warlord Helmet,3.8,No
539,3,8,Cloth Coif,0.2,Yes
540,3,7,Cloth Headwrap,0.4,Yes
541,3,2,Cloth Hood,0.3,No
542,3,1,Colored Hijab,0.1,Yes
543,3,1,Colored Keffiyeh,0.1,Yes
544,3,1,Colored Turban,0.2,Yes
545,3,7,Crowned Helmet,3.4,No
546,3,7,Crowned Plate Helmet,3.6,No
547,3,2,Decorated Bronze Helmet with Cheek Guards,3.3,No
548,3,4,Decorated Nomad Cap,0.4,Yes
549,3,1,Desert Headdress,0.2,Yes
550,3,1,Desert Headscarf,0.3,Yes
551,3,1,Emir Helmet,3,No
552,3,8,Feathered Spangenhelm,3.2,No
553,3,8,Feathered Spangenhelm over Coif,3.1,No
554,3,8,Feathered Spangenhelm over Leather,3.2,No
555,3,8,Feathered Spangenhelm over Mail,3.4,No
556,3,1,Female Headwrap,0.1,Yes
557,3,7,Female Rural Headwrap,0.3,Yes
558,3,7,Female Rural Scarf,0.2,Yes
559,3,2,Fringed Bronze Cap with Cheek Guards,3.2,No
560,3,2,Fringed Decorated Bronze Cap with Cheek Guards,3.3,No
561,3,2,Fringed Decorated Steel Cap with Cheek Guards,3.1,No
562,3,2,Fringed Steel Cap with Cheek Guards,3,No
563,3,7,Full Helm over Arming Coif,3,No
564,3,7,Full Helm over Cloth Headwrap,3.2,No
565,3,7,Full Helm over Laced Coif,3.25,No
566,3,7,Full Helm over Mail Coif,3.7,No
567,3,7,Full Helm over Padded Cap,3.1,No
568,3,7,Full Helm over Padded Cloth,3.6,No
569,3,6,Fur Cap,0.5,Yes
570,3,6,Fur Cap with Ear Flaps,0.4,Yes
571,3,6,Fur Rimmed Cap,0.3,Yes
572,3,4,Furred Noble Lancer Helmet,3.4,No
573,3,8,Goggled Cataphract Helmet,3.2,No
574,3,6,Goggled Helmet over Leather,3.1,No
575,3,6,Goggled Helmet over Mail,3.4,No
576,3,8,Golden Laurel Crown,0.3,Yes
577,3,6,Head Scarf,0.2,Yes
578,3,1,Headscarf with Fez,0.4,Yes
579,3,6,Heavy Cavalry Helmet,3.8,No
580,3,4,Heavy Lancer Helmet,4,No
581,3,8,Heavy Nasalhelm over Laced Cloth,3.1,No
582,3,8,Heavy Nasalhelm over Leather,3.4,No
583,3,8,Heavy Nasalhelm over Mail,3.6,No
584,3,8,Heavy Nasalhelm over Padding,3,No
585,3,8,Helmet with Faceguard,2.5,No
586,3,1,Helmet with Open Turban,2.1,No
587,3,1,Helmet with Turban and Coif,2.2,No
588,3,9,Hide Cap,0.45,No
589,3,2,Highland Ceremonial Crown,0.5,No
590,3,2,Highland Crowned Helmet,3.4,No
591,3,1,Hijab,0.5,Yes
592,3,8,Imperial Jeweled Band,0.85,Yes
593,3,8,Imperial Jeweled Band,0.5,Yes
