Item_ID,Tier,Swing_Speed,Swing_Damage,Thrust_Speed,Thrust_Damage,Length,Handling,Merchandise
96,5,88,82,0,0,85,85,No
97,0,104,18,0,0,45,107,Yes
98,0,106,20,0,0,32,108,Yes
99,1,100,34,0,0,54,101,Yes
100,1,102,35,0,0,67,102,Yes
101,1,99,38,93,12,56,101,Yes
102,2,101,37,0,0,55,102,Yes
103,2,94,44,92,15,69,97,Yes
104,2,88,39,89,15,72,92,Yes
105,3,87,55,0,0,66,92,Yes
106,3,82,56,85,26,65,89,Yes
107,3,94,52,0,0,57,100,Tournaments
108,3,92,53,0,0,62,94,Yes
109,3,82,44,85,26,66,89,Yes
110,3,81,57,0,0,72,89,Yes
111,3,92,53,0,0,62,94,Yes
112,4,101,56,0,0,47,106,Yes
113,4,80,66,0,0,72,88,Yes
114,4,85,64,0,0,68,92,Yes
115,4,92,62,0,0,56,99,Yes
116,4,91,60,0,0,70,96,Yes
117,4,104,52,0,0,46,108,Yes
118,4,87,62,0,0,67,95,Yes
119,5,81,71,0,0,75,89,Yes
120,5,81,67,0,0,74,82,Yes
121,5,89,67,0,0,55,93,Yes
122,5,88,64,0,0,69,94,Yes
123,5,88,61,0,0,77,89,Yes
124,5,104,86,98,52,105,92,Vassal
125,6,92,75,94,46,105,92,Yes
126,6,79,79,90,36,125,80,Yes
127,6,86,74,93,44,115,86,Tournaments
128,6,87,91,92,40,111,88,Yes
129,6,93,71,91,42,90,93,Yes
130,6,84,72,87,41,97,86,Yes
131,6,87,71,90,50,107,87,Yes
132,6,85,94,90,38,111,84,Vassal
133,6,81,80,87,38,116,83,Yes
134,6,85,73,88,41,97,86,Yes
135,6,85,73,89,41,97,87,Yes
136,6,67,83,85,35,117,74,Yes
137,6,83,79,90,39,112,84,Yes
138,4,97,95,94,39,96,89,Yes
139,6,99,107,96,49,108,89,Yes
140,6,94,109,93,49,108,86,Yes
141,6,105,94,98,49,99,93,Vassal
142,6,91,132,93,57,119,84,Yes
143,6,94,128,94,56,111,86,Yes
144,2,69,41,0,0,92,70,Yes
145,2,102,68,0,0,78,89,Yes
146,3,89,85,0,0,100,80,Yes
147,5,98,89,0,0,104,86,Yes
148,5,77,123,0,0,119,70,Tournaments
149,5,78,123,0,0,115,72,Yes
150,5,87,113,0,0,93,77,Yes
151,5,89,110,0,0,115,80,Yes
152,5,71,124,0,0,132,67,Yes
153,5,86,117,0,0,104,78,Yes
154,6,87,114,0,0,117,77,Vassal
155,6,87,114,0,0,116,77,Yes
156,6,76,133,0,0,138,69,Yes
157,6,77,138,0,0,121,70,Yes
158,4,85,80,0,0,102,74,Yes
159,0,0,0,85,22,122,75,Yes
160,0,0,0,90,22,132,82,Yes
161,1,0,0,80,25,165,58,Yes
162,1,0,0,83,24,175,63,Yes
163,1,0,0,84,31,167,65,Yes
164,1,0,0,82,24,173,60,No
165,1,0,0,85,28,168,64,Yes
166,2,29,6,85,30,173,64,Yes
167,2,0,0,84,34,170,64,Yes
168,2,0,0,84,34,170,64,Yes
169,2,0,0,83,28,179,63,Noble
170,2,0,0,80,29,208,57,Noble
171,2,0,0,82,27,198,60,Yes
172,2,0,0,82,35,186,64,Yes
173,2,0,0,82,35,186,64,Yes
174,2,0,0,76,26,223,50,Yes
175,2,0,0,79,26,208,53,Yes
176,2,0,0,79,26,199,53,Yes
177,2,0,0,82,27,190,58,Yes
178,3,0,0,85,36,171,71,Noble
179,3,0,0,84,37,179,72,No
180,3,0,0,79,32,229,51,No
181,3,0,0,83,34,193,64,Noble
182,3,0,0,85,35,161,73,No
183,3,0,0,83,37,184,64,Tournaments
184,3,0,0,78,32,235,50,No
185,3,0,0,83,37,188,64,Yes
186,3,0,0,85,36,170,69,Noble
187,3,0,0,79,31,234,52,Yes
188,3,0,0,79,32,222,52,Yes
189,4,0,0,81,37,216,55,No
190,4,0,0,82,40,197,61,Noble
191,4,0,0,81,39,198,62,Tournaments
192,4,0,0,84,39,181,64,No
193,4,0,0,90,29,138,81,Yes
194,4,0,0,83,39,200,63,Noble
195,4,0,0,93,36,114,86,Yes
196,4,0,0,87,38,213,63,No
197,6,16,14,82,37,208,56,No
198,6,42,39,84,25,149,72,No
199,6,24,22,83,34,206,64,No
200,6,45,35,87,42,163,74,No
201,6,17,11,79,24,202,60,No
202,6,32,35,87,36,143,66,No
203,1,0,0,92,26,172,55,Yes
204,1,78,59,0,0,96,66,Yes
205,2,0,0,87,35,194,48,Yes
206,3,0,0,83,43,222,45,Yes
207,3,0,0,86,40,225,48,Yes
208,3,0,0,83,41,240,45,Yes
209,4,0,0,88,42,246,51,Yes
210,4,0,0,79,42,299,40,Yes
211,5,86,105,0,0,138,70,Yes
212,6,76,141,0,0,203,66,Yes
213,6,62,155,90,41,205,52,Yes
